Net generation overhead,JSON,DTapn,DTapnQ,LTL,Init+Final
0.0011823177337646484,0.0012936592102050781,0.002744913101196289,0.00018835067749023438,0.0032973289489746094,198
0.00012826919555664062,0.0003535747528076172,0.0005083084106445312,0.0010781288146972656,0.0003647804260253906,18
0.0009322166442871094,0.0009233951568603516,0.008892297744750977,0.00026106834411621094,0.005347251892089844,246
0.0006914138793945312,0.0005230903625488281,0.0006487369537353516,0.0002257823944091797,0.000530242919921875,24
0.0021119117736816406,0.002789735794067383,0.007444858551025391,0.0006616115570068359,0.004851102828979492,294
0.00022268295288085938,0.00046563148498535156,0.0008351802825927734,0.00024271011352539062,0.0005042552947998047,30
0.002974987030029297,0.0015711784362792969,0.012335777282714844,0.0005972385406494141,0.004532337188720703,348
0.0002460479736328125,0.0005500316619873047,0.0011105537414550781,0.0001964569091796875,0.0006120204925537109,36
0.003447294235229492,0.0034360885620117188,0.013833284378051758,0.0005297660827636719,0.005806922912597656,396
0.00022125244140625,0.0004673004150390625,0.0007984638214111328,0.000194549560546875,0.0005459785461425781,42
0.00021648406982421875,0.0005140304565429688,0.0010144710540771484,0.0002052783966064453,0.0005960464477539062,48
0.00014209747314453125,0.00031638145446777344,0.0003447532653808594,0.00016999244689941406,0.00031375885009765625,6
0.0004172325134277344,0.0008320808410644531,0.002991914749145508,0.002005338668823242,0.0010476112365722656,96
0.0007791519165039062,0.0010712146759033203,0.003182649612426758,0.0002472400665283203,0.0015177726745605469,144
0.00010967254638671875,0.00035858154296875,0.0004897117614746094,0.00018477439880371094,0.0010585784912109375,12
