Model;Query;Result;Verification Time;Memory Usage;Discovered States;Explored States;Stored States;Query Property;Extra Tokens;Verification Method;Symmetry;Search Order;Approximation Method;Approximation Constant
Shared_10.tapn;Reach_P9;Satisfied;0.006 s;N/A;13;3;12;AG (!(deadlock) or Routings.P9 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_10.tapn;Waypoint_P9_visited;Satisfied;0.002 s;N/A;13;3;12;AG (P9_visited.P9_visited >= 1 or Routings.P9 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_10.tapn;LoopFree;Satisfied;0.009 s;N/A;13;3;12;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_10.tapn;All3;Satisfied;0.01 s;N/A;13;3;12;AG ((!(deadlock) or Routings.P9 >= 1) and (P9_visited.P9_visited >= 1 or Routings.P9 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_20.tapn;Reach_P18;Satisfied;0.005 s;N/A;22;3;21;AG (!(deadlock) or Routings.P18 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_20.tapn;Waypoint_P18_visited;Satisfied;0.006 s;N/A;22;3;21;AG (P18_visited.P18_visited >= 1 or Routings.P18 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_20.tapn;LoopFree;Satisfied;0.01 s;N/A;22;3;21;AG P0_visited.P0_visited < 2;5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_20.tapn;All3;Satisfied;0.008 s;N/A;22;3;21;AG ((!(deadlock) or Routings.P18 >= 1) and (P18_visited.P18_visited >= 1 or Routings.P18 = 0));5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_30.tapn;Reach_P27;Satisfied;0.003 s;N/A;31;3;30;AG (!(deadlock) or Routings.P27 >= 1);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
Shared_30.tapn;Waypoint_P27_visited;Satisfied;0.007 s;N/A;31;3;30;AG (P27_visited.P27_visited >= 1 or Routings.P27 = 0);5;E: TAPAAL Discrete Engine Engine w. PTries;Yes;Depth First Search;None;2
